DC0001	吳俊憲	SS0022
DC0002	趙又愛	SS0006
DC0003	吳威宇	SS0009
DC0004	鄭任火	SS0005
DC0005	許佐發	SS0007
DC0006	黃祐誠	SS0012
DC0007	林哲豪	SS0017
DC0008	陳萬華	SS0010
DC0009	李為佐	SS0023
DC0010	邱睿俊	SS0027
DC0011	朱宛梅	SS0020
DC0012	楊山珮	SS0029
DC0013	賴幸雲	SS0008
DC0014	袁柏宏	SS0015
DC0015	黃鈺揚	SS0024
DC0016	王淑雲	SS0004
DC0017	李俊雄	SS0013
DC0018	蔡乃城	SS0026
DC0019	陳雅芳	SS0030
DC0020	陳韋婷	SS0014
DC0021	周建志	SS0001
DC0022	蔣懿屏	SS0003
DC0023	陳姿君	SS0018
DC0024	李丹誠	SS0025
DC0025	鄭慧君	SS0011
DC0026	李彥霖	SS0016
DC0027	林瑜銘	SS0019
DC0028	蘇萱青	SS0021
DC0029	卞郁文	SS0028
DC0030	方樂昕	SS0008
